subject_id,ssim,psnr,mae,lpips
sub-stroke0092-00000,0.8760934,12.803709537485613,0.06067977845668793,0.2658120095729828
sub-stroke0092-00001,0.8806223,12.607129780661166,0.062083642929792404,0.31899458169937134
sub-stroke0092-00002,0.8910995,12.822446950827695,0.058798160403966904,0.3617306053638458
sub-stroke0092-00003,0.90007764,14.093426721646484,0.044640034437179565,0.26590991020202637
sub-stroke0092-00004,0.90623045,16.319138034500153,0.031326472759246826,0.24706333875656128
sub-stroke0092-00005,0.91287607,19.698171859915043,0.018641214817762375,0.20283184945583344
sub-stroke0092-00006,0.9150372,25.16236425334526,0.010862283408641815,0.18720181286334991
sub-stroke0092-00007,0.9155507,26.607927363377097,0.010304410941898823,0.14131882786750793
sub-stroke0092-00008,0.9004471,26.01456865370588,0.012559059076011181,0.1432245671749115
sub-stroke0092-00009,0.9044633,26.640038322891755,0.011980722658336163,0.10886985063552856
sub-stroke0092-00010,0.90126675,27.412697591157844,0.011415249668061733,0.10186751186847687
sub-stroke0092-00011,0.8938439,27.8990387369312,0.010997459292411804,0.10546743124723434
sub-stroke0092-00012,0.8805173,26.894832177666107,0.012619378976523876,0.11654993891716003
sub-stroke0092-00013,0.87863874,25.79859425478699,0.01533921156078577,0.10703372955322266
sub-stroke0092-00014,0.8672619,26.869692510778155,0.014635452069342136,0.11285635083913803
sub-stroke0092-00015,0.8511259,26.368619485529322,0.017466945573687553,0.14029522240161896
sub-stroke0092-00016,0.83787686,23.530538905805173,0.02689173072576523,0.164725661277771
sub-stroke0092-00017,0.8367936,23.498873621240676,0.026582786813378334,0.1493222862482071
sub-stroke0092-00018,0.83026624,22.960272409554317,0.028629975393414497,0.15734100341796875
sub-stroke0092-00019,0.842429,23.02908504991906,0.02834101766347885,0.1479797065258026
sub-stroke0092-00020,0.85073227,22.665825946144867,0.029849303886294365,0.12583428621292114
sub-stroke0092-00021,0.85617614,23.982400728296504,0.025043264031410217,0.11238790303468704
sub-stroke0092-00022,0.8480471,23.66848103685971,0.026860376819968224,0.10738018155097961
sub-stroke0092-00023,0.836562,24.00579194246844,0.026269951835274696,0.13327710330486298
sub-stroke0092-00024,0.8526997,25.00568939717509,0.02207108773291111,0.1395062506198883
sub-stroke0092-00025,0.85540086,24.06527187467644,0.025575583800673485,0.12050667405128479
sub-stroke0092-00026,0.85298675,23.87929064911525,0.02716967649757862,0.12741585075855255
sub-stroke0092-00027,0.86563116,24.973530144353443,0.02185363881289959,0.1012275367975235
sub-stroke0092-00028,0.86765456,25.667214447993494,0.021907852962613106,0.11295948177576065
sub-stroke0092-00029,0.8400405,20.470161283108954,0.04592752084136009,0.13546064496040344
