subject_id,ssim,psnr,mae,lpips,emd
sub-stroke0092-00000,0.8760934047663405,12.803709537485613,0.06067977473139763,0.2658120095729828,0.04178843766062812
sub-stroke0092-00001,0.8806223506747186,12.607129780661166,0.0620836466550827,0.31899458169937134,0.04698378613302623
sub-stroke0092-00002,0.8910995365472464,12.822446950827695,0.0587981641292572,0.3617306053638458,0.04664797314969604
sub-stroke0092-00003,0.9000776144654379,14.093426721646484,0.044640038162469864,0.26590991020202637,0.03702380619240131
sub-stroke0092-00004,0.9062304493397069,16.319138034500153,0.031326472759246826,0.24706333875656128,0.01557389799897635
sub-stroke0092-00005,0.9128760582235763,19.698171859915043,0.018641214817762375,0.20283184945583344,0.004566506774430934
sub-stroke0092-00006,0.9150372023262254,25.16236425334526,0.010862283408641815,0.18720181286334991,0.006001850367795214
sub-stroke0092-00007,0.9155507306313084,26.607927363377097,0.010304410010576248,0.14131882786750793,0.0049312817242608276
sub-stroke0092-00008,0.9004470027468603,26.01456865370588,0.01255906093865633,0.1432245671749115,0.005354039828340262
sub-stroke0092-00009,0.9044632952998881,26.640038322891755,0.011980721727013588,0.10886985063552856,0.004624071439174315
sub-stroke0092-00010,0.9012666853898196,27.412697591157844,0.011415250599384308,0.10186751186847687,0.004898131356441127
sub-stroke0092-00011,0.8938438697198946,27.8990387369312,0.01099745836108923,0.10546743124723434,0.004363654901794689
sub-stroke0092-00012,0.8805172748328529,26.894832177666107,0.012619378045201302,0.11654993891716003,0.005160762097013105
sub-stroke0092-00013,0.8786387590288043,25.79859425478699,0.01533921342343092,0.10703372955322266,0.0076496203615832314
sub-stroke0092-00014,0.8672618714055544,26.869692510778155,0.014635453000664711,0.11285635083913803,0.006580248278339695
sub-stroke0092-00015,0.8511258606788604,26.368619485529322,0.017466945573687553,0.14029522240161896,0.004372989620669898
sub-stroke0092-00016,0.8378768297292304,23.530538905805173,0.026891732588410378,0.164725661277771,0.015438064952356001
